"EEID","Full Name","Job Title","Department","Business Unit","Gender","Ethnicity","Age","Hire Date","Annual Salary","Bonus %","Country","City","Exit Date","EmploymentRating","DaysOfAbsence","EducationLevel","CertificationsEarned"
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,"2002-05-23",76354.0,0.0,United States,Phoenix,"2021-09-26",10,16,Bachelor's,1
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,"2021-01-10",86538.0,0.0,China,Chengdu,"",7,16,Master's,2
E02477,Amelia Bui,Director,Engineering,Speciality Products,Female,Asian,46,"2020-10-21",151853.0,0.16,China,Chengdu,"",5,16,Master's,4
E03160,Carter Ortiz,Quality Engineer,Engineering,Speciality Products,Male,Latino,54,"2012-04-29",96441.0,0.0,Brazil,Sao Paulo,"",8,16,Bachelor's,3
E04641,Scarlett Hill,Director,Engineering,Speciality Products,Female,Black,45,"2018-04-22",187205.0,0.24,United States,Columbus,"2022-06-20",8,16,Bachelor's,0
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,"2004-06-07",246231.0,0.31,United States,Seattle,"",10,15,PhD,2
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,Male,Black,40,"2005-07-07",74412.0,0.0,United States,Seattle,"",6,15,Bachelor's,1
E04308,Kai Flores,Development Engineer,Engineering,Manufacturing,Male,Latino,35,"2017-05-23",65566.0,0.0,United States,Seattle,"",9,15,Bachelor's,1
E03750,Elias Dang,Director,Engineering,Speciality Products,Male,Asian,64,"1995-08-29",158787.0,0.18,China,Chengdu,"",5,15,Master's,1
E03404,Everleigh Nunez,Field Engineer,Engineering,Speciality Products,Female,Latino,42,"2021-02-05",65507.0,0.0,Brazil,Manaus,"",10,15,Bachelor's,1
E00153,Claire Jones,Field Engineer,Engineering,Corporate,Female,Caucasian,39,"2019-03-12",62644.0,0.0,United States,Seattle,"",9,15,Bachelor's,3
E03181,Greyson Dang,Development Engineer,Engineering,Manufacturing,Male,Asian,60,"2009-05-11",62239.0,0.0,China,Beijing,"",8,15,Bachelor's,1
E03402,Isaac Liu,Field Engineer,Engineering,Manufacturing,Male,Asian,60,"1992-10-13",88213.0,0.0,China,Chongqing,"",9,15,Master's,4
E03114,Jameson Juarez,Development Engineer,Engineering,Speciality Products,Male,Latino,62,"1994-10-09",98230.0,0.0,United States,Miami,"",9,15,Bachelor's,2
E04720,Christopher Chung,Controls Engineer,Engineering,Corporate,Male,Asian,28,"2021-12-18",95670.0,0.0,United States,Phoenix,"",8,15,Bachelor's,0
E04484,Vivian Thao,Quality Engineer,Engineering,Research & Development,Female,Asian,45,"2015-04-23",60017.0,0.0,United States,Chicago,"",8,15,Bachelor's,4
E02276,Hazel Griffin,Field Engineer,Engineering,Corporate,Female,Caucasian,32,"2015-11-09",65247.0,0.0,United States,Phoenix,"",8,15,Bachelor's,0
E01090,Jacob Cheng,Quality Engineer,Engineering,Research & Development,Male,Asian,59,"2009-12-23",78006.0,0.0,United States,Miami,"",7,15,Master's,1
E04369,Santiago f Gray,Quality Engineer,Engineering,Corporate,Male,Caucasian,27,"2018-09-11",80745.0,0.0,United States,Chicago,"",7,15,Bachelor's,0
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,"2019-12-16",99989.0,0.0,China,Chengdu,"",10,14,Bachelor's,0
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,"2008-12-18",92753.0,0.13,United States,Austin,"2021-06-24",8,14,Bachelor's,4
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,"1992-09-28",70778.0,0.0,United States,Austin,"",6,14,Bachelor's,3
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,"1992-04-08",116878.0,0.11,United States,Miami,"",7,14,Bachelor's,4
E00023,Gabriel Joseph,Director,Engineering,Manufacturing,Male,Caucasian,52,"2006-10-28",187992.0,0.28,United States,Miami,"",6,14,Bachelor's,3
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,"2005-12-10",102043.0,0.0,United States,Chicago,"",6,13,Master's,3
