"EEID","Full Name","Job Title","Department","Business Unit","Gender","Ethnicity","Age","Hire Date","Annual Salary","Bonus %","Country","City","Exit Date","EmploymentRating","DaysOfAbsence","EducationLevel","CertificationsEarned"
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,"2002-11-16","",0.0,United States,Seattle,"",7,16,Bachelor's,2
E02761,Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,48,"2004-06-30",120660.0,0.07,China,Chengdu,"",10,16,Bachelor's,4
E02391,Natalia Santos,Vice President,Human Resources,Speciality Products,Female,Latino,45,"2019-02-25",249801.0,0.39,Brazil,Sao Paulo,"",7,16,Bachelor's,4
E03637,Landon Thao,HRIS Analyst,Human Resources,Speciality Products,Male,Asian,25,"2021-01-21",67299.0,0.0,United States,Phoenix,"",5,16,Bachelor's,2
E04348,Natalia Owens,Manager,Human Resources,Manufacturing,Female,Caucasian,31,"2021-01-18",104162.0,0.07,United States,Austin,"",9,15,Master's,2
E03325,Robert Edwards,HRIS Analyst,Human Resources,Corporate,Male,Caucasian,62,"2004-10-11",50825.0,0.0,United States,Seattle,"",7,15,Bachelor's,1
E03045,Andrew Huynh,Business Partner,Human Resources,Speciality Products,Male,Asian,57,"1997-04-28",54051.0,0.0,United States,Miami,"1998-10-11",5,15,Bachelor's,1
E04590,Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,Male,Caucasian,49,"2001-03-29",57606.0,0.0,United States,Miami,"",8,15,Bachelor's,1
E01118,Roman Yang,Manager,Human Resources,Manufacturing,Male,Asian,42,"2009-12-12",114242.0,0.08,United States,Phoenix,"",10,15,Bachelor's,4
E04799,Mila Roberts,Sr. Business Partner,Human Resources,Corporate,Female,Caucasian,30,"2017-01-26",88663.0,0.0,United States,Phoenix,"",7,15,PhD,3
E02843,Lily Pena,Manager,Human Resources,Speciality Products,Female,Latino,55,"2010-02-24",102839.0,0.05,United States,Miami,"",6,15,Bachelor's,4
E01264,Hazel Alvarez,Business Partner,Human Resources,Research & Development,Female,Latino,62,"2014-04-19",45295.0,0.0,Brazil,Sao Paulo,"",10,15,Bachelor's,4
E00647,Dylan Ali,Sr. Manger,Human Resources,Speciality Products,Male,Asian,27,"2021-04-16",133400.0,0.11,United States,Phoenix,"",9,15,Bachelor's,0
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,"2014-01-16",152214.0,0.3,China,Beijing,"",9,14,Bachelor's,3
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,"1995-11-16",125936.0,0.08,China,Chongqing,"",9,14,Bachelor's,0
E02072,Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,"2021-03-12",70369.0,0.0,United States,Seattle,"",8,14,Bachelor's,3
E04662,Julia Morris,Sr. Manger,Human Resources,Corporate,Female,Caucasian,60,"2008-10-18",150855.0,0.11,United States,Phoenix,"",10,14,Master's,0
