"EEID","Full Name","Job Title","Department","Business Unit","Gender","Ethnicity","Age","Hire Date","Annual Salary","Bonus %","Country","City","Exit Date","EmploymentRating","DaysOfAbsence","EducationLevel","CertificationsEarned"
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,"2019-05-24",122350.0,0.12,United States,Phoenix,"",5,16,Master's,1
E04972,Logan Bryant,Sr. Manger,Marketing,Speciality Products,Male,Caucasian,30,"2020-07-18",148485.0,0.15,United States,Miami,"",8,16,Bachelor's,3
E04645,Elias Ahmed,Vice President,Marketing,Corporate,Male,Asian,57,"2017-08-04",183190.0,0.36,United States,Chicago,"",5,16,Bachelor's,4
E03300,Maria Chin,Analyst,Marketing,Manufacturing,Female,Asian,65,"2013-09-26",50341.0,0.0,China,Beijing,"",9,15,Bachelor's,0
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,Female,Asian,59,"2008-08-29",157969.0,0.1,China,Chongqing,"",9,15,PhD,4
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,Female,Latino,33,"2014-04-27",75869.0,0.0,Brazil,Sao Paulo,"",8,15,Master's,0
E03901,Luca Truong,Director,Marketing,Corporate,Male,Asian,45,"2004-12-11",168846.0,0.24,China,Chongqing,"",6,15,Bachelor's,4
E00824,Everleigh Adams,Analyst II,Marketing,Manufacturing,Female,Caucasian,33,"2020-03-14",68846.0,0.0,United States,Chicago,"",9,15,PhD,4
E01899,Xavier Jackson,Vice President,Marketing,Speciality Products,Male,Caucasian,52,"2002-06-11",236314.0,0.34,United States,Miami,"",6,15,Master's,3
E01300,Sadie Lee,Sr. Manger,Marketing,Corporate,Female,Asian,65,"2000-10-24",149417.0,0.13,China,Chengdu,"",7,15,Bachelor's,0
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,"2013-03-13",249270.0,0.3,United States,Seattle,"",8,14,Bachelor's,3
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,"2021-03-11",135062.0,0.15,China,Chengdu,"",9,14,Bachelor's,2
E04877,Samuel Vega,Analyst II,Marketing,Speciality Products,Male,Latino,37,"2013-03-30",69570.0,0.0,United States,Miami,"",7,14,Bachelor's,0
E04607,Landon Brown,Vice President,Marketing,Corporate,Male,Caucasian,26,"2020-09-27",223055.0,0.3,United States,Columbus,"",5,14,Bachelor's,2
E00638,David Simmons,Manager,Marketing,Corporate,Male,Caucasian,51,"1997-01-26",104431.0,0.07,United States,Phoenix,"",8,14,Bachelor's,0
E03655,Samantha Rogers,Analyst,Marketing,Speciality Products,Female,Caucasian,28,"2020-01-17",45061.0,0.0,United States,Miami,"",10,14,Master's,0
E01108,Hannah Martinez,Manager,Marketing,Manufacturing,Female,Latino,65,"2006-09-07",127626.0,0.1,United States,Miami,"",7,14,Bachelor's,0
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,"2016-09-13",64847.0,0.0,United States,Miami,"",7,13,Bachelor's,4
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,"2016-05-02",50784.0,0.0,Brazil,Rio de Janerio,"",7,13,Bachelor's,3
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,Asian,46,"2002-01-15",86510.0,0.0,China,Beijing,"2003-01-02",6,13,Bachelor's,3
E04165,Sophie Vang,Sr. Manger,Marketing,Manufacturing,Female,Asian,25,"2021-09-14",136810.0,0.14,China,Chongqing,"",7,13,Bachelor's,1
