"EEID","Full Name","Job Title","Department","Business Unit","Gender","Ethnicity","Age","Hire Date","Annual Salary","Bonus %","Country","City","Exit Date","EmploymentRating","DaysOfAbsence","EducationLevel","CertificationsEarned"
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,"","","","",0.0,United States,Phoenix,"",6,16,Master's,1
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,"2015-06-09",41429.0,0.0,United States,Seattle,"",8,16,Bachelor's,0
E04127,Emery Acosta,Vice President,Sales,Research & Development,Female,Latino,42,"2013-09-11",181452.0,0.3,United States,Columbus,"",8,16,Master's,3
E00273,David Owens,Sr. Analyst,Sales,Corporate,Male,Black,43,"2004-04-16",94246.0,0.0,United States,Austin,"",5,16,Master's,2
E02295,Axel Jordan,Analyst,Sales,Corporate,Male,Caucasian,47,"2013-02-28",54635.0,0.0,United States,Chicago,"",8,16,Bachelor's,4
E01150,Allison Leung,Sr. Analyst,Sales,Research & Development,Female,Asian,62,"2020-05-18",97830.0,0.0,United States,Austin,"",7,16,Bachelor's,2
E01582,Elijah Coleman,Sr. Manger,Sales,Research & Development,Male,Caucasian,53,"2014-10-19",159538.0,0.11,United States,Miami,"",6,16,Master's,4
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,"2017-07-22",55854.0,0.0,United States,Austin,"",6,16,Bachelor's,0
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,"2019-09-05",49998.0,0.0,United States,Seattle,"",7,15,Bachelor's,3
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,"2003-03-25",123405.0,0.13,United States,Columbus,"",8,15,Bachelor's,1
E01221,Eva Figueroa,Analyst II,Sales,Research & Development,Female,Latino,48,"2014-05-14",61216.0,0.0,United States,Seattle,"",10,15,Bachelor's,1
E00116,Madelyn Mehta,Analyst,Sales,Speciality Products,Female,Asian,64,"2005-01-28",55369.0,0.0,United States,Phoenix,"",10,15,Bachelor's,2
E01019,Dominic Scott,Sr. Analyst,Sales,Corporate,Male,Caucasian,45,"2011-03-16",81687.0,0.0,United States,Phoenix,"",10,15,Bachelor's,3
E00446,Hudson Hill,Sr. Analyst,Sales,Research & Development,Male,Caucasian,30,"2019-11-04",96092.0,0.0,United States,Austin,"",5,15,Bachelor's,3
E01941,Quinn Trinh,Analyst II,Sales,Corporate,Female,Asian,42,"2010-05-09",67743.0,0.0,China,Beijing,"2014-12-25",6,15,Bachelor's,4
E01413,Caroline Nelson,Sr. Account Representative,Sales,Speciality Products,Female,Black,60,"1997-07-30",71677.0,0.0,United States,Columbus,"",9,15,Bachelor's,4
E01943,Vivian Espinoza,Sr. Manger,Sales,Corporate,Female,Latino,52,"2006-10-05",147966.0,0.11,Brazil,Rio de Janerio,"2019-05-23",7,15,PhD,1
E00943,Elena Mendoza,Director,Sales,Speciality Products,Female,Latino,27,"2018-10-24",154973.0,0.29,Brazil,Sao Paulo,"",9,15,Master's,1
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,"2002-07-09",166331.0,0.18,China,Chongqing,"",5,14,Bachelor's,1
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,"2017-07-22",55854.0,0.0,United States,Austin,"",7,14,Bachelor's,4
E02121,Levi Brown,Sr. Analyst,Sales,Corporate,Male,Black,36,"2021-12-26",75119.0,0.0,United States,Chicago,"",6,14,Bachelor's,1
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,"2021-07-03",82739.0,0.0,United States,Phoenix,"",8,14,Bachelor's,0
E02189,Isla Chavez,Account Representative,Sales,Research & Development,Female,Latino,29,"2018-05-19",65334.0,0.0,Brazil,Rio de Janerio,"",10,14,Bachelor's,0
E02818,Aaron Garza,Director,Sales,Research & Development,Male,Latino,39,"2013-12-27",165756.0,0.28,United States,Columbus,"2020-06-09",9,14,Bachelor's,2
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,"2021-04-02",151703.0,0.21,United States,Miami,"",10,14,Bachelor's,0
E01225,Christian Fong,Manager,Sales,Research & Development,Male,Asian,49,"2012-08-10",109850.0,0.07,China,Beijing,"2020-02-04",10,14,Bachelor's,0
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,"2016-09-29",59100.0,0.0,China,Chongqing,"",7,13,Bachelor's,1
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,"2021-03-19",127543.0,0.06,China,Shanghai,"",8,13,PhD,4
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,Asian,40,"2011-01-20",96719.0,0.0,China,Chengdu,"",6,13,Bachelor's,1
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,Asian,45,"2007-09-07",151027.0,0.1,China,Shanghai,"",8,13,Master's,4
E04168,Mila Juarez,Manager,Sales,Speciality Products,Female,Latino,38,"2017-09-21",119647.0,0.09,Brazil,Sao Paulo,"",9,13,Bachelor's,4
E02478,Alexander Morris,Manager,Sales,Speciality Products,Male,Caucasian,33,"2013-06-21",119631.0,0.06,United States,Phoenix,"",6,13,Bachelor's,1
E04940,Hudson Williams,Vice President,Sales,Speciality Products,Male,Black,36,"2018-03-19",195200.0,0.36,United States,Austin,"",9,13,Bachelor's,2
E04887,Emery Do,Account Representative,Sales,Research & Development,Female,Asian,40,"2018-03-16",55457.0,0.0,United States,Columbus,"",8,13,PhD,3
E02047,Xavier Perez,Sr. Analyst,Sales,Manufacturing,Male,Latino,51,"1998-02-26",71111.0,0.0,Brazil,Rio de Janerio,"",7,13,Bachelor's,2
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,Male,Latino,55,"2013-11-16",124129.0,0.15,Brazil,Sao Paulo,"",10,12,Bachelor's,1
E01132,Aiden Bryant,Account Representative,Sales,Manufacturing,Male,Black,47,"2002-10-21",70122.0,0.0,United States,Columbus,"",9,12,Bachelor's,4
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,Asian,56,"2004-02-25",216949.0,0.32,China,Shanghai,"",9,12,Bachelor's,2
E04101,Olivia Harris,Director,Sales,Speciality Products,Female,Caucasian,63,"2020-06-14",181216.0,0.27,United States,Columbus,"",9,12,Bachelor's,4
E01488,Penelope Griffin,Director,Sales,Manufacturing,Female,Caucasian,61,"2021-01-23",151783.0,0.26,United States,Seattle,"",6,12,PhD,2
E04128,Jacob Doan,Analyst II,Sales,Speciality Products,Male,Asian,55,"2021-08-02",67130.0,0.0,United States,Miami,"",6,12,Bachelor's,1
E03863,Madeline Watson,Account Representative,Sales,Research & Development,Female,Black,40,"2009-05-27",62411.0,0.0,United States,Miami,"2021-08-14",7,12,Bachelor's,3
E03000,Hailey Hong,Account Representative,Sales,Research & Development,Female,Asian,33,"2021-01-22",56405.0,0.0,United States,Chicago,"",6,12,Bachelor's,3
E00758,Jonathan Khan,Account Representative,Sales,Manufacturing,Male,Asian,35,"2013-08-30",59646.0,0.0,China,Shanghai,"",8,12,Bachelor's,0
E04354,Raelynn Rios,Vice President,Sales,Manufacturing,Female,Latino,43,"2016-08-21",258498.0,0.35,United States,Columbus,"",9,12,Bachelor's,4
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,"2020-08-20",219693.0,0.3,United States,Austin,"",10,11,Bachelor's,1
E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,"2019-09-24",201464.0,0.37,United States,Chicago,"",9,11,Master's,0
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,"2016-12-18",89458.0,0.0,United States,Austin,"",6,11,Bachelor's,2
